"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"167","Steve Kerr",5.75609756097561,0.712,6.5625,0.733,5,3,0
"168","Jason Kidd",4.54878048780488,0.491,1.5,0.375,0,0,0
"169","Bob Kloppenburg",0.0853658536585366,0.286,0,0,0,0,0
"170","Igor Kokoskov",1,0.232,0,0,0,0,0
"171","Lon Kruger",2.32926829268293,0.361,0,0,0,0,0
"172","Larry Krystkowiak",1.21951219512195,0.31,0,0,0,0,0
"173","John Kuester",2,0.348,0,0,0,0,0
"174","John Kundla",8.84146341463415,0.583,5.9375,0.632,0,5,1
"175","Bob Lanier",0.451219512195122,0.324,0,0,0,0,0
"176","Joe Lapchick",6.98780487804878,0.569,3.75,0.5,0,0,0
"177","Frank Layden",6.96341463414634,0.485,2.5625,0.439,0,0,0
"178","George Lee",1.63414634146341,0.47,0.375,0.333,0,0,0
"179","Slick Leonard",5.48780487804878,0.413,0,0,0,0,1
"180","Andrew Levane",3.36585365853659,0.384,0.125,0,0,0,0
"181","Grady Lewis",1.5609756097561,0.43,0.125,0,0,0,0
"182","Gene Littles",1.89024390243902,0.284,0,0,0,0,0
"183","Earl Lloyd",0.939024390243902,0.286,0,0,0,0,0
"184","Tates Locke",0.560975609756098,0.348,0,0,0,0,0
"185","Ken Loeffler",2.0609756097561,0.467,0.625,0.4,0,0,1
"186","John Logan",0.0365853658536585,0.667,0,0,0,0,0
"187","Kevin Loughery",13.8536585365854,0.417,1.6875,0.222,0,0,0
"188","Sidney Lowe",3.74390243902439,0.257,0,0,0,0,0
"189","John Loyer",0.390243902439024,0.25,0,0,0,0,0
"190","John Lucas",5.25609756097561,0.401,0.875,0.429,0,0,0
"191","Tyronn Lue",2.57317073170732,0.607,3.8125,0.672,3,1,0
"192","Jim Lynam",8.78048780487805,0.456,1.3125,0.381,0,0,0
"193","Ed Macauley",1.67073170731707,0.65,1.25,0.45,0,0,0
"194","Bob MacKinnon",1.13414634146341,0.269,0,0,0,0,0
"195","John MacLeod",16.6341463414634,0.518,6.3125,0.465,1,0,0
"196","Brendan Malone",1.21951219512195,0.29,0,0,0,0,0
"197","Mike Malone",6.03658536585366,0.511,0.875,0.5,0,0,0
"198","Tom Marshall",1.57317073170732,0.271,0,0,0,0,0
"199","Slater Martin",0.0975609756097561,0.625,0,0,0,0,0
"200","Johnny McCarthy",0.98780487804878,0.272,0,0,0,0,0
"201","Jack McCloskey",2,0.293,0,0,0,0,0
"202","Dick McGuire",5.58536585365854,0.43,1.5625,0.36,0,0,0
"203","Frank McGuire",0.975609756097561,0.613,0.75,0.5,0,0,1
"204","Kevin McHale",5.08536585365854,0.556,1.8125,0.448,0,0,0
"205","Morris McHone",0.378048780487805,0.355,0,0,0,0,0
"206","Bones McKinney",0.426829268292683,0.286,0,0,0,0,0
"207","Jack McKinney",4.28048780487805,0.387,0.125,0,0,0,0
"208","Jack McMahon",6.69512195121951,0.474,1.8125,0.345,0,0,0
"209","Dave McMillan",0.280487804878049,0.391,0,0,0,0,0
"210","Nate McMillan",15.0853658536585,0.528,3.0625,0.347,0,0,0
"211","Murray Mendenhall",1.65853658536585,0.529,0.4375,0.429,0,0,0
"212","George Mikan",0.475609756097561,0.231,0,0,0,0,0
"213","Mike Miller",0.475609756097561,0.385,0,0,0,0,0
"214","Sam Mitchell",5.20731707317073,0.433,0.6875,0.273,0,0,0
"215","Doug Moe",14.109756097561,0.543,5.1875,0.398,0,0,0
"216","Mike Montgomery",2,0.415,0,0,0,0,0
"217","Doxie Moore",1.1219512195122,0.348,0.5,0.5,0,0,0
"218","Robert Morris",0.731707317073171,0.467,0,0,0,0,0
"219","Dick Motta",23.8048780487805,0.479,7.875,0.444,2,1,0
"220","Joe Mullaney",2.35365853658537,0.544,1.875,0.533,0,0,0
"221","Bill Musselman",3.14634146341463,0.302,0,0,0,0,0
"222","Eric Musselman",3,0.439,0,0,0,0,0
"223","Pete Myers",0.0365853658536585,0,0,0,0,0,0
"224","Kenny Natt",0.707317073170732,0.19,0,0,0,0,0
"225","Don Nelson",29.2439024390244,0.557,10.375,0.452,0,0,1
"226","Tom Nissalke",7.79268292682927,0.388,0.875,0.429,0,0,0
"227","Nick Nurse",1.74390243902439,0.706,1.5,0.667,1,1,0
"228","Jim O'Brien",7.68292682926829,0.481,1.9375,0.452,0,0,0
"229","Kevin O'Neill",1,0.402,0,0,0,0,0
"230","Harold Olsen",1.92682926829268,0.601,1.125,0.389,0,0,0
"231","Bob Pettit",0.0731707317073171,0.667,0,0,0,0,0
"232","Randy Pfund",1.78048780487805,0.452,0.3125,0.4,0,0,0
"233","Andy Phillip",0.121951219512195,0.6,0,0,0,0,0
"234","Lloyd Pierce",1.76829268292683,0.331,0,0,0,0,0
"235","Rick Pitino",5.02439024390244,0.466,0.8125,0.462,0,0,1
"236","Jim Pollard",1.45121951219512,0.269,0.5625,0.556,0,0,0
"237","Gregg Popovich",22.9268292682927,0.676,17.75,0.599,6,5,0
"238","Terry Porter",2.6219512195122,0.46,0.3125,0.2,0,0,0
"239","Roger Potter",0.0853658536585366,0.143,0,0,0,0,0
"240","Kevin Pritchard",0.329268292682927,0.185,0,0,0,0,0
"241","Joe Prunty",0.451219512195122,0.568,0.4375,0.429,0,0,0
"242","Kurt Rambis",2.79268292682927,0.284,0.5,0.375,0,0,0
"243","Jack Ramsay",20.0853658536585,0.525,6.375,0.431,1,1,1
"244","Willis Reed",2.51219512195122,0.398,0.375,0.333,0,0,0
"245","Chick Reiser",0.365853658536585,0.267,0,0,0,0,0
"246","Jerry Reynolds",2.07317073170732,0.329,0,0,0,0,0
"247","Pat Riley",23.219512195122,0.636,17.625,0.606,9,5,1
"248","Doc Rivers",19.6707317073171,0.58,10.4375,0.503,2,1,0
"249","Scotty Robertson",3.5,0.38,0,0,0,0,0
"250","Red Rocha",1.86585365853659,0.425,0.625,0.4,0,0,0
"251","Jimmy Rodgers",3.35365853658537,0.418,0.5,0.25,0,0,0
"252","Robert Rolfe",0.536585365853659,0.386,0,0,0,0,0
"253","Ron Rothstein",4,0.296,0,0,0,0,0
"254","Roy Rubin",0.621951219512195,0.078,0,0,0,0,0
"255","Bill Russell",7.69512195121951,0.54,3.8125,0.557,0,2,0
"256","John Russell",1.31707317073171,0.389,0.1875,0.333,0,0,0
"257","Philip Sachs",0.317073170731707,0.308,0,0,0,0,0
"258","Ed Sadowski",0.146341463414634,0.25,0,0,0,0,0
"259","Tom Sanders",0.75609756097561,0.371,0,0,0,0,0
"260","Flip Saunders",15.1951219512195,0.525,6.125,0.48,0,0,0
"261","Ryan Saunders",1.24390243902439,0.343,0,0,0,0,0
"262","Herm Schaefer",1.67073170731707,0.453,0.25,0,0,0,0
"263","Fred Schaus",6.82926829268293,0.563,4.4375,0.465,0,0,0
"264","Dolph Schayes",3.9390243902439,0.467,1.3125,0.429,0,0,0
"265","Mike Schuler",4.1219512195122,0.53,0.5,0.25,0,0,0
"266","Howie Schultz",0.426829268292683,0.6,0,0,0,0,0
"267","Fred Scolari",0.475609756097561,0.308,0,0,0,0,0
"268","Byron Scott",13.4268292682927,0.412,3.5625,0.579,2,0,0
"269","Ray Scott",3.42682926829268,0.523,0.625,0.4,0,0,0
