"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"327","Conn Smythe",1.63414634146341,0.5,0.25,0.5,0,0,1
"328","Glen Sonmor",5.13414634146341,0.523668639053254,2.9375,0.553,0,0,0
"329","Harvey Sproule",0.146341463414634,0.583333333333333,0,0,0,0,0
"330","Barney Stanley",0.280487804878049,0.19047619047619,0,0,0,0,1
"331","Vic Stasiuk",3.74390243902439,0.365145228215768,0.25,0,0,0,0
"332","John Stevens",4.41463414634146,0.536050156739812,1.6875,0.407,0,0,0
"333","Bill Stewart",0.451219512195122,0.366666666666667,0,0,0,0,0
"334","Bill Stewart",0.841463414634146,0.385964912280702,0.625,0.7,1,1,0
"335","Ron Stewart",1.45121951219512,0.46,0.125,0,0,0,0
"336","Steve Stirling",1.51219512195122,0.523364485981308,0,0,0,0,0
"337","Alpo Suhonen",1,0.420289855072464,0,0,0,0,0
"338","Mike Sullivan",6.45121951219512,0.625277161862528,4.5,0.569,2,2,0
"339","Red Sullivan",4.4390243902439,0.350819672131148,0,0,0,0,0
"340","Bill Sutherland",0.390243902439024,0.241379310344828,0,0,0,0,0
"341","Brent Sutter",5,0.595567867036011,0.75,0.333,0,0,0
"342","Brian Sutter",12.5365853658537,0.519585253456221,4.25,0.412,0,0,0
"343","Darryl Sutter",15.6707317073171,0.575840145322434,10.625,0.524,2,2,0
"344","Duane Sutter",0.878048780487805,0.385964912280702,0,0,0,0,0
"345","Jean-Guy Talbot",2.4390243902439,0.476744186046512,0.5,0.25,0,0,0
"346","Orval Tessier",2.59756097560976,0.515625,1.125,0.5,0,0,0
"347","Michel Therrien",9.92682926829268,0.572637517630465,4.4375,0.535,0,0,0
"348","Paul Thompson",3.31707317073171,0.45021645021645,1.1875,0.368,0,0,0
"349","Percy Thompson",0.585365853658537,0.270833333333333,0,0,0,0,0
"350","Dave Tippett",14.4024390243902,0.574634146341463,4.625,0.446,0,0,0
"351","Bill Tobin",0.865853658536585,0.5,0.25,0.375,0,0,0
"352","Rick Tocchet",4.6219512195122,0.470769230769231,0,0,0,0,0
"353","John Torchetti",0.804878048780488,0.5,0.375,0.333,0,0,0
"354","John Tortorella",16.1463414634146,0.559931506849315,6.875,0.473,1,1,0
"355","Mario Tremblay",1.9390243902439,0.529850746268657,0.6875,0.273,0,0,0
"356","Bryan Trottier",0.658536585365854,0.446808510638298,0,0,0,0,1
