"N","GR","WL%","PGR","PWL%","CC","C","HOF","Sport"
"Billy Nash",0.802469135802469,0.477,0,0,0,0,0,"baseball"
"Billy Reay",13.4390243902439,0.584681769147789,7.3125,0.487,0,0,0,"hockey"
"Billy Southworth",10.9259259259259,0.597,2,0.5,4,2,1,"baseball"
"Billy Sullivan",0.981481481481482,0.513,0,0,0,0,0,"baseball"
"Birdie Tebbetts",8.98148148148148,0.515,0,0,0,0,0,"baseball"
"Blanton Collier",7,0.691,2.33333333333333,0.429,1,1,0,"football"
"Blondie Purcell",0.506172839506173,0.16,0,0,0,0,0,"baseball"
"Bo Hanley",0.3125,0,0,0,0,0,0,"football"
"Bo McMillin",2.375,0.368,0,0,0,0,0,"football"
"Bo Porter",1.85185185185185,0.367,0,0,0,0,0,"baseball"
"Bob Addy",0.191358024691358,0.258,0,0,0,0,0,"baseball"
"Bob Allen",1.10493827160494,0.5,0,0,0,0,0,"baseball"
"Bob Bass",1.35365853658537,0.541,0.375,0.167,0,0,0,"basketball"
"Bob Berry",10.4878048780488,0.519621109607578,2.0625,0.333,0,0,0,"hockey"
"Bob Boone",5.03086419753086,0.455,0,0,0,0,0,"baseball"
"Bob Boughner",2.45121951219512,0.534090909090909,0,0,0,0,0,"hockey"
"Bob Brenly",3.48765432098765,0.536,1.81818181818182,0.55,1,1,0,"baseball"
"Bob Caruthers",0.308641975308642,0.333,0,0,0,0,0,"baseball"
"Bob Coleman",1.82098765432099,0.437,0,0,0,0,0,"baseball"
"Bob Cousy",4.24390243902439,0.405,0,0,0,0,0,"basketball"
"Bob Dove",0.3125,0.5,0,0,0,0,0,"football"
"Bob Elliott",0.95679012345679,0.377,0,0,0,0,0,"baseball"
"Bob Feerick",1.80487804878049,0.426,0.125,0,0,0,0,"basketball"
"Bob Ferguson",5.85802469135802,0.447,0,0,0,0,0,"baseball"
"Bob Folwell",0.75,0.667,0,0,0,0,0,"football"
"Bob Gainey",5.75609756097561,0.479012345679012,3.375,0.463,0,0,1,"hockey"
"Bob Geren",4.38271604938272,0.47,0,0,0,0,0,"baseball"
"Bob Hartley",11.5121951219512,0.561893203883495,5.9375,0.568,1,1,0,"hockey"
"Bob Hill",7.35365853658537,0.514,2.3125,0.459,0,0,0,"basketball"
"Bob Hollway",1.75,0.315,0,0,0,0,0,"football"
"Bob Hopkins",0.268292682926829,0.227,0,0,0,0,0,"basketball"
"Bob Johnson",5.85365853658537,0.554502369668246,4.75,0.539,1,1,1,"hockey"
"Bob Kauffman",0.707317073170732,0.5,0,0,0,0,0,"basketball"
"Bob Kennedy",3.3641975308642,0.487,0,0,0,0,0,"baseball"
"Bob Kloppenburg",0.0853658536585366,0.286,0,0,0,0,0,"basketball"
"Bob Lanier",0.451219512195122,0.324,0,0,0,0,0,"basketball"
"Bob Leadley",1.02469135802469,0.469,0,0,0,0,0,"baseball"
"Bob Lemon",5.14197530864198,0.516,2.18181818181818,0.625,2,1,1,"baseball"
"Bob Lillis",3.31481481481481,0.514,0,0,0,0,0,"baseball"
"Bob MacKinnon",1.13414634146341,0.269,0,0,0,0,0,"basketball"
"Bob McCammon",6.24390243902439,0.496629213483146,1.0625,0.235,0,0,0,"hockey"
"Bob Melvin",14.7901234567901,0.511,1.81818181818182,0.35,0,0,0,"baseball"
"Bob Murdoch",2.92682926829268,0.444976076555024,0.75,0.333,0,0,0,"hockey"
"Bob Murray",0.317073170731707,0.56,0,0,0,0,0,"hockey"
"Bob O'Farrell",1.50617283950617,0.502,0,0,0,0,0,"baseball"
"Bob Pettit",0.0731707317073171,0.667,0,0,0,0,0,"basketball"
"Bob Plager",0.134146341463415,0.4,0,0,0,0,0,"hockey"
"Bob Pulford",10.109756097561,0.523809523809524,4.4375,0.394,0,0,1,"hockey"
"Bob Schaefer",0.111111111111111,0.333,0,0,0,0,0,"baseball"
"Bob Scheffing",5.24074074074074,0.495,0,0,0,0,0,"baseball"
"Bob Shawkey",0.950617283950617,0.558,0,0,0,0,0,"baseball"
"Bob Skinner",1.33333333333333,0.431,0,0,0,0,0,"baseball"
"Bob Snyder",0.75,0.5,0,0,0,0,0,"football"
"Bob Staak",0.0121951219512195,0,0,0,0,0,0,"basketball"
"Bob Swift",0.611111111111111,0.566,0,0,0,0,0,"baseball"
"Bob Unglaub",0.179012345679012,0.31,0,0,0,0,0,"baseball"
"Bob Waterfield",2.125,0.273,0,0,0,0,1,"football"
"Bob Weiss",6.36585365853659,0.427,0.6875,0.182,0,0,0,"basketball"
"Bobby Bragan",5.72222222222222,0.481,0,0,0,0,0,"baseball"
"Bobby Cox",27.8271604938272,0.556,12.3636363636364,0.493,5,1,1,"baseball"
"Bobby Francis",4.75609756097561,0.533980582524272,0.625,0.2,0,0,0,"hockey"
"Bobby Kromm",2.81707317073171,0.415789473684211,0.4375,0.429,0,0,0,"hockey"
"Bobby Lowe",0.481481481481481,0.405,0,0,0,0,0,"baseball"
"Bobby Mattick",1.65432098765432,0.388,0,0,0,0,0,"baseball"
"Bobby Petrino",0.8125,0.231,0,0,0,0,0,"football"
"Bobby Ross",8.5625,0.54,2.66666666666667,0.375,1,0,0,"football"
"Bobby Valentine",14.5123456790123,0.504,2.18181818181818,0.542,1,0,0,"baseball"
"Bobby Wallace",1.33950617283951,0.287,0,0,0,0,1,"baseball"
"Bobby Wanzer",2.85365853658537,0.419,0.125,0,0,0,0,"basketball"
"Bobby Wine",0.253086419753086,0.39,0,0,0,0,0,"baseball"
"Bobby Winkles",2.37037037037037,0.444,0,0,0,0,0,"baseball"
"Bones McKinney",0.426829268292683,0.286,0,0,0,0,0,"basketball"
"Brad Ausmus",4.98765432098765,0.478,0.272727272727273,0,0,0,0,"baseball"
"Brad Childress",4.625,0.527,1,0.333,0,0,0,"football"
"Brad Mills",2.74691358024691,0.384,0,0,0,0,0,"baseball"
"Brad Park",0.548780487804878,0.209302325581395,0,0,0,0,1,"hockey"
"Brad Shaw",0.48780487804878,0.5,0,0,0,0,0,"hockey"
"Brad Stevens",6.78048780487805,0.563,3.5,0.482,0,0,0,"basketball"
"Branch Rickey",7.88271604938272,0.473,0,0,0,0,1,"baseball"
"Brandon Hyde",1.00617283950617,0.331,0,0,0,0,0,"baseball"
"Brendan Malone",1.21951219512195,0.29,0,0,0,0,0,"basketball"
"Brent Sutter",5,0.595567867036011,0.75,0.333,0,0,0,"hockey"
"Brett Brown",6.79268292682927,0.39,1.375,0.545,0,0,0,"basketball"
"Brian Billick",9,0.556,2.66666666666667,0.625,1,1,0,"football"
"Brian Flores",1,0.313,0,0,0,0,0,"football"
"Brian Hill",7.47560975609756,0.486,2.5,0.45,1,0,0,"basketball"
"Brian Shaw",1.71951219512195,0.397,0,0,0,0,0,"basketball"
"Brian Snitker",3.76543209876543,0.521,0.818181818181818,0.333,0,0,0,"baseball"
"Brian Sutter",12.5365853658537,0.519585253456221,4.25,0.412,0,0,0,"hockey"
"Brian Winters",2.24390243902439,0.196,0,0,0,0,0,"basketball"
"Brick Muller",0.625,0.667,0,0,0,0,0,"football"
"Bruce Arians",6,0.589,1,0.333,0,0,0,"football"
"Bruce Bochy",24.8888888888889,0.497,7,0.571,4,3,0,"baseball"
"Bruce Boudreau",12,0.652474108170311,5.625,0.478,0,0,0,"hockey"
"Bruce Cassidy",4.52439024390244,0.64797507788162,3,0.5,0,0,0,"hockey"
"Bruce Coslet",7.75,0.379,0.333333333333333,0,0,0,0,"football"
"Bruce Hale",0.207317073170732,0.235,0,0,0,0,0,"basketball"
"Bruce Kimm",0.481481481481481,0.423,0,0,0,0,0,"baseball"
"Bryan Murray",15.109756097561,0.571428571428571,7,0.464,0,0,0,"hockey"
"Bryan Price",4.11111111111111,0.419,0,0,0,0,0,"baseball"
"Bryan Trottier",0.658536585365854,0.446808510638298,0,0,0,0,1,"hockey"
"Bryan Watson",0.219512195121951,0.307692307692308,0,0,0,0,0,"hockey"
"Buck Ewing",5.57407407407407,0.553,0,0,0,0,1,"baseball"
"Buck Herzog",2.47530864197531,0.422,0,0,0,0,0,"baseball"
"Buck Martinez",1.32716049382716,0.465,0,0,0,0,0,"baseball"
"Buck Rodgers",9.62345679012346,0.503,0.454545454545455,0.4,0,0,0,"baseball"
"Buck Shaw",9.375,0.621,1,0.667,1,1,0,"football"
"Buck Showalter",18.9444444444444,0.506,2.09090909090909,0.391,0,0,0,"baseball"
"Bucky Buckwalter",0.451219512195122,0.351,0,0,0,0,0,"basketball"
"Bucky Dent",0.549382716049383,0.404,0,0,0,0,0,"baseball"
"Bucky Harris",27.2222222222222,0.493,1.90909090909091,0.524,3,2,1,"baseball"
