"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"575","Luke Sewell",7.77160493827161,0.485,0.545454545454545,0.333,1,0,0
"576","Dan Shannon",0.672839506172839,0.238,0,0,0,0,0
"577","Bill Sharsig",2.87037037037037,0.524,0,0,0,0,0
"578","Bob Shawkey",0.950617283950617,0.558,0,0,0,0,0
"579","Tom Sheehan",0.604938271604938,0.479,0,0,0,0,0
"580","Larry Shepard",1.97530864197531,0.514,0,0,0,0,0
"581","Norm Sherry",0.907407407407407,0.517,0,0,0,0,0
"582","Bill Shettsline",4.17901234567901,0.548,0,0,0,0,0
"583","Mike Shildt",1.42592592592593,0.571,0.818181818181818,0.333,0,0,0
"584","Burt Shotton",9.0679012345679,0.477,1.09090909090909,0.333,2,0,0
"585","Buck Showalter",18.9444444444444,0.506,2.09090909090909,0.391,0,0,0
"586","Ken Silvestri",0.0185185185185185,0,0,0,0,0,0
"587","Joe Simmons",0.191358024691358,0.097,0,0,0,0,0
"588","Lew Simmons",0.604938271604938,0.427,0,0,0,0,0
"589","Dick Sisler",1.32716049382716,0.563,0,0,0,0,0
"590","George Sisler",2.85185185185185,0.475,0,0,0,0,1
"591","Frank Skaff",0.487654320987654,0.506,0,0,0,0,0
"592","Bob Skinner",1.33333333333333,0.431,0,0,0,0,0
"593","Joel Skinner",0.469135802469136,0.461,0,0,0,0,0
"594","Jack Slattery",0.191358024691358,0.355,0,0,0,0,0
"595","Bill Smith",0.0308641975308642,0,0,0,0,0,0
"596","Harry Smith",0.487654320987654,0.299,0,0,0,0,0
"597","Heinie Smith",0.197530864197531,0.156,0,0,0,0,0
"598","Mayo Smith",7.89506172839506,0.52,0.636363636363636,0.571,1,1,0
"599","Brian Snitker",3.76543209876543,0.521,0.818181818181818,0.333,0,0,0
"600","Jim Snyder",0.648148148148148,0.429,0,0,0,0,0
"601","Pop Snyder",1.77777777777778,0.572,0,0,1,0,0
"602","Allan Sothoron",0.0493827160493827,0.25,0,0,0,0,0
"603","Billy Southworth",10.9259259259259,0.597,2,0.5,4,2,1
"604","Al Spalding",0.777777777777778,0.624,0,0,1,0,1
"605","Tris Speaker",7.03086419753086,0.543,0.636363636363636,0.714,1,1,1
"606","Harry Spence",0.839506172839506,0.37,0,0,0,0,0
"607","Chick Stahl",0.246913580246914,0.35,0,0,0,0,0
"608","Jake Stahl",3.33333333333333,0.493,0.636363636363636,0.571,1,1,0
"609","George Stallings",11.1851851851852,0.495,0.363636363636364,1,1,1,0
"610","Eddie Stanky",5.59259259259259,0.518,0,0,0,0,0
"611","Joe Start",0.154320987654321,0.72,0,0,0,0,0
"612","Casey Stengel",23.2469135802469,0.508,5.72727272727273,0.587,10,7,1
"613","George Stovall",4.30864197530864,0.454,0,0,0,0,0
